Movie,Filenames,IMDb
"Shawshank Redemption, The (1994)",shawshank_redemption.jpg,https://www.imdb.com/title/tt0111161/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb (1964).jpg,https://www.imdb.com/title/tt0057012/
Ghost in the Shell (Kôkaku kidôtai) (1995),Ghost in the Shell.jpg,https://www.imdb.com/title/tt0113568/
Pulp Fiction (1994),Pulp Fiction (1994).jpg,https://www.imdb.com/title/tt0110912/
"Philadelphia Story, The (1940)",Philadelphia Story.jpg,https://www.imdb.com/title/tt0032904/
"Godfather, The (1972)",Godfather.jpg,https://www.imdb.com/title/tt0068646/
His Girl Friday (1940),His Girl Friday (1940).jpg,https://www.imdb.com/title/tt0032599/
"Streetcar Named Desire, A (1951)","Streetcar Named Desire, A (1951).jpg",https://www.imdb.com/title/tt0044081/
Rear Window (1954),Rear Window (1954).jpg,https://www.imdb.com/title/tt0047396/
Notorious (1946),Notorious (1946).jpg,https://www.imdb.com/title/tt0038787/
Paths of Glory (1957),Paths of Glory (1957).jpg,https://www.imdb.com/title/tt0050825/
Lawrence of Arabia (1962),Lawrence of Arabia (1962).jpg,https://www.imdb.com/title/tt0056172/
Secrets & Lies (1996),Secrets & Lies (1996).jpg,https://www.imdb.com/title/tt0117589/
Ran (1985),Ran (1985).jpg,https://www.imdb.com/title/tt0089881
Monty Python and the Holy Grail (1975),Monty Python and the Holy Grail (1975).jpg,https://www.imdb.com/title/tt0071853/
"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Seventh Seal, The (Sjunde inseglet, Det) (1957).jpg",https://www.imdb.com/title/tt0050976
Guess Who's Coming to Dinner (1967),Guess Who's Coming to Dinner (1967).jpg,https://www.imdb.com/title/tt0061735/
Fight Club (1999),Fight Club (1999).jpg,https://www.imdb.com/title/tt0137523/
Touch of Evil (1958),Touch of Evil (1958).jpg,https://www.imdb.com/title/tt0052311/
"Hustler, The (1961)","Hustler, The (1961).jpg",https://www.imdb.com/title/tt0054997/
Grave of the Fireflies (Hotaru no haka) (1988),Grave of the Fireflies (Hotaru no haka) (1988).jpg,https://www.imdb.com/title/tt0095327/
"Day of the Doctor, The (2013)","Day of the Doctor, The (2013).jpg",https://www.imdb.com/title/tt2779318/
"Outlaw Josey Wales, The (1976)","Outlaw Josey Wales, The (1976).jpg",https://www.imdb.com/title/tt0075029/
"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",Neon Genesis Evangelion The End of Evangelion.jpg,https://www.imdb.com/title/tt0169858/
"Three Billboards Outside Ebbing, Missouri (2017)","Three Billboards Outside Ebbing, Missouri (2017).jpg",https://www.imdb.com/title/tt5027774/
"Departed, The (2006)","Departed, The (2006).jpg",https://www.imdb.com/title/tt0407887/
Double Indemnity (1944),Double Indemnity (1944).jpg,https://www.imdb.com/title/tt0036775/
Mary and Max (2009),Mary and Max (2009).jpg,https://www.imdb.com/title/tt0978762
Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit The Best of Aardman Animation (1996).jpg,https://www.imdb.com/title/tt2185063/
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950).jpg,https://www.imdb.com/title/tt0043014
Hoop Dreams (1994),Hoop Dreams (1994).jpg,https://www.imdb.com/title/tt0110057
Five Easy Pieces (1970),Five Easy Pieces (1970).jpg,https://www.imdb.com/title/tt0065724
Man Bites Dog (C'est arrivé prčs de chez vous) (1992),Man Bites Dog (C'est arrivé prčs de chez vous) (1992).jpg,https://www.imdb.com/title/tt0103905
"Matrix, The (1999)","Matrix, The (1999).jpg",https://www.imdb.com/title/tt0133093/
Baby Driver (2017),Baby Driver (2017).jpg,https://www.imdb.com/title/tt3890160
"Legend of Drunken Master, The (Jui kuen II) (1994)","Legend of Drunken Master, The (Jui kuen II) (1994).jpg",https://www.imdb.com/title/tt0111512
Doctor Zhivago (1965),Doctor Zhivago (1965).jpg,https://www.imdb.com/title/tt0059113/
Lesson Faust (1994),Lesson Faust (1994).jpg,https://www.imdb.com/title/tt0109781
"Assignment, The (1997)","Assignment, The (1997).jpg",https://www.imdb.com/title/tt0118647
Far From Home: The Adventures of Yellow Dog (1995),Far From Home- The Adventures of Yellow Dog (1995).jpg,https://www.imdb.com/title/tt0113028/
Lassie (1994),Lassie (1994).jpg,https://www.imdb.com/title/tt0110305/
Mephisto (1981),Mephisto (1981).jpg,https://www.imdb.com/title/tt0082736
